pmid	title	virus_name	virus_abbr	virus_family	virus_genus	host_phylum	host_class	host_common_name	host_association_method	discovery_context	match_type	host_score
101112	Interaction of chemical pollutants and virus in a crustacean: a novel bioassay system.	interaction of chemical pollutants and virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	3
101112	Interaction of chemical pollutants and virus in a crustacean: a novel bioassay system.	of which had light patent baculovirus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	3
101112	Interaction of chemical pollutants and virus in a crustacean: a novel bioassay system.	and virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	3
1035190	[Central activity, antihypertensive action and antiulcerogenic effects of neurotropin].	an extract isolated from vaccinia virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10493113	Concentrations of C-reactive protein in normal monkeys (Macaca irus) and in monkeys inoculated with Bordetella bronchise	and measles virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10493113	Concentrations of C-reactive protein in normal monkeys (Macaca irus) and in monkeys inoculated with Bordetella bronchise	were inoculated intrabronchially with measles virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10507411	A polymerase chain reaction protocol for the detection of various geographical isolates of white spot virus.	geographical isolates of white spot virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	3
10507411	A polymerase chain reaction protocol for the detection of various geographical isolates of white spot virus.	fragment of the white spot virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	3
10518707	Molecular characterization of the glycoproteins from two warm water rhabdoviruses: snakehead rhabdovirus (SHRV) and rhab	glycoproteins from two warm water rhabdovirus				Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured	pattern	3
10518707	Molecular characterization of the glycoproteins from two warm water rhabdoviruses: snakehead rhabdovirus (SHRV) and rhab	snakehead rhabdovirus				Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured	pattern	3
10518707	Molecular characterization of the glycoproteins from two warm water rhabdoviruses: snakehead rhabdovirus (SHRV) and rhab	and rhabdovirus				Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured	pattern	3
10518707	Molecular characterization of the glycoproteins from two warm water rhabdoviruses: snakehead rhabdovirus (SHRV) and rhab	spring viremia of carp virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured	pattern	3
10518707	Molecular characterization of the glycoproteins from two warm water rhabdoviruses: snakehead rhabdovirus (SHRV) and rhab	genes from two rhabdovirus				Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured	pattern	3
10518707	Molecular characterization of the glycoproteins from two warm water rhabdoviruses: snakehead rhabdovirus (SHRV) and rhab	the snakehead rhabdovirus				Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured	pattern	3
10518707	Molecular characterization of the glycoproteins from two warm water rhabdoviruses: snakehead rhabdovirus (SHRV) and rhab	from spring viremia of carp virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured	pattern	3
10518707	Molecular characterization of the glycoproteins from two warm water rhabdoviruses: snakehead rhabdovirus (SHRV) and rhab	a fish virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured	pattern	3
10518707	Molecular characterization of the glycoproteins from two warm water rhabdoviruses: snakehead rhabdovirus (SHRV) and rhab	viral hemorrhagic septicemia virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured	pattern	3
10518707	Molecular characterization of the glycoproteins from two warm water rhabdoviruses: snakehead rhabdovirus (SHRV) and rhab	infectious hematopoietic necrosis virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured	pattern	3
10518707	Molecular characterization of the glycoproteins from two warm water rhabdoviruses: snakehead rhabdovirus (SHRV) and rhab	and hirame rhabdovirus				Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured	pattern	3
10518707	Molecular characterization of the glycoproteins from two warm water rhabdoviruses: snakehead rhabdovirus (SHRV) and rhab	the amino acid sequence from rhabdovirus				Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured	pattern	3
10579383	Maternal transmission of immunity to white spot syndrome associated virus (WSSV) in shrimp (Penaeus monodon).	to white spot syndrome associated virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	5
10579383	Maternal transmission of immunity to white spot syndrome associated virus (WSSV) in shrimp (Penaeus monodon).	from white spot syndrome associated virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	5
10627152	Characterization and PCR detection of hepatopancreatic parvovirus (HPV) from Penaeus monodon in Thailand.	hepatopancreatic parvovirus	HPV	Parvoviridae	Decapodpenstyldensovirus	Arthropoda	Malacostraca	crustacean	confirmed_infection	isolated_and_cultured	known	5
10627152	Characterization and PCR detection of hepatopancreatic parvovirus (HPV) from Penaeus monodon in Thailand.	and pcr detection of hepatopancreatic parvovirus				Arthropoda	Malacostraca	crustacean	confirmed_infection	isolated_and_cultured	pattern	5
10627152	Characterization and PCR detection of hepatopancreatic parvovirus (HPV) from Penaeus monodon in Thailand.	the virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	isolated_and_cultured	pattern	5
10627568	TT virus infection in nonhuman primates and characterization of the viral genome: identification of simian TT virus isol	identification of simian tt virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10627568	TT virus infection in nonhuman primates and characterization of the viral genome: identification of simian TT virus isol	newly discovered tt virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10627568	TT virus infection in nonhuman primates and characterization of the viral genome: identification of simian TT virus isol	pathogenesis of this new dna virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10627669	Development of insect cell lines: virus susceptibility and applicability to prawn cell culture.	for the study of insect virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	isolated_and_cultured	pattern	3
10627669	Development of insect cell lines: virus susceptibility and applicability to prawn cell culture.	important in this endeavor since virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	isolated_and_cultured	pattern	3
