pmid	title	virus_name	virus_abbr	virus_family	virus_genus	host_phylum	host_class	host_common_name	host_association_method	discovery_context	match_type	host_score
10069957	Heterologous sequences greatly affect foreign gene expression in tobacco mosaic virus-based vectors.	gene expression in tobacco mosaic virus				Cnidaria	Scyphozoa	cnidarian	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10069957	Heterologous sequences greatly affect foreign gene expression in tobacco mosaic virus-based vectors.	a series of tobacco mosaic virus				Cnidaria	Scyphozoa	cnidarian	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10069957	Heterologous sequences greatly affect foreign gene expression in tobacco mosaic virus-based vectors.	odontoglossum ringspot virus				Cnidaria	Scyphozoa	cnidarian	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10069957	Heterologous sequences greatly affect foreign gene expression in tobacco mosaic virus-based vectors.	tobacco mild green mosaic virus				Cnidaria	Scyphozoa	cnidarian	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10069957	Heterologous sequences greatly affect foreign gene expression in tobacco mosaic virus-based vectors.	tomato mosaic virus				Cnidaria	Scyphozoa	cnidarian	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10069957	Heterologous sequences greatly affect foreign gene expression in tobacco mosaic virus-based vectors.	hemp mosaic virus				Cnidaria	Scyphozoa	cnidarian	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10069957	Heterologous sequences greatly affect foreign gene expression in tobacco mosaic virus-based vectors.	from tobacco mild green mosaic virus				Cnidaria	Scyphozoa	cnidarian	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10361722	Generation of a new protein purification matrix by loading ceramic hydroxyapatite with metal ions--demonstration with po	the autographa californica nuclear polyhedrosis virus				Cnidaria	Scyphozoa	cnidarian	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10361722	Generation of a new protein purification matrix by loading ceramic hydroxyapatite with metal ions--demonstration with po	the baculovirus				Cnidaria	Scyphozoa	cnidarian	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10361722	Generation of a new protein purification matrix by loading ceramic hydroxyapatite with metal ions--demonstration with po	used for constructing the recombinant baculovirus				Cnidaria	Scyphozoa	cnidarian	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10398563	Construction of a recombinant herpesvirus expressing the jellyfish green fluorescent protein.	construction of a recombinant herpesvirus				Cnidaria	Scyphozoa	cnidarian	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10398563	Construction of a recombinant herpesvirus expressing the jellyfish green fluorescent protein.	plaques containing recombinant virus				Cnidaria	Scyphozoa	cnidarian	confirmed_infection	metagenomic_with_host_evidence	pattern	3
