pmid	title	virus_name	virus_abbr	virus_family	virus_genus	host_phylum	host_class	host_common_name	host_association_method	discovery_context	match_type	host_score
10092141	Recovery and detection of enterovirus, hepatitis A virus and Norwalk virus in hardshell clams (Mercenaria mercenaria) by	hepatitis a virus and norwalk virus				Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10092141	Recovery and detection of enterovirus, hepatitis A virus and Norwalk virus in hardshell clams (Mercenaria mercenaria) by	method for recovery of enteric virus				Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10092141	Recovery and detection of enterovirus, hepatitis A virus and Norwalk virus in hardshell clams (Mercenaria mercenaria) by	of the virus				Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10092141	Recovery and detection of enterovirus, hepatitis A virus and Norwalk virus in hardshell clams (Mercenaria mercenaria) by	pcru of norwalk virus				Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10092141	Recovery and detection of enterovirus, hepatitis A virus and Norwalk virus in hardshell clams (Mercenaria mercenaria) by	concentration and purification of enteric virus				Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10092141	Recovery and detection of enterovirus, hepatitis A virus and Norwalk virus in hardshell clams (Mercenaria mercenaria) by	methods gave similar efficiency for virus				Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10092141	Recovery and detection of enterovirus, hepatitis A virus and Norwalk virus in hardshell clams (Mercenaria mercenaria) by	in samples seeded with low virus				Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10092141	Recovery and detection of enterovirus, hepatitis A virus and Norwalk virus in hardshell clams (Mercenaria mercenaria) by	study is effective for enteric virus				Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10204648	Outbreaks of gastroenteritis caused by SRSVs from 1987 to 1992 in Kyushu, Japan: four outbreaks associated with oyster c	small round structured virus				Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10204648	Outbreaks of gastroenteritis caused by SRSVs from 1987 to 1992 in Kyushu, Japan: four outbreaks associated with oyster c	the detected virus				Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10355779	Purification and partial genome characterization of a herpes-like virus infecting the Japanese oyster, Crassostrea gigas	like virus				Mollusca	Bivalvia	mollusk	disease_outbreak	isolated_and_cultured	pattern	6
10355779	Purification and partial genome characterization of a herpes-like virus infecting the Japanese oyster, Crassostrea gigas	diagnostic techniques prompted purification of virus				Mollusca	Bivalvia	mollusk	disease_outbreak	isolated_and_cultured	pattern	6
10355779	Purification and partial genome characterization of a herpes-like virus infecting the Japanese oyster, Crassostrea gigas	of the purification of a virus				Mollusca	Bivalvia	mollusk	disease_outbreak	isolated_and_cultured	pattern	6
10355779	Purification and partial genome characterization of a herpes-like virus infecting the Japanese oyster, Crassostrea gigas	purification of large amounts of virus				Mollusca	Bivalvia	mollusk	disease_outbreak	isolated_and_cultured	pattern	6
10355779	Purification and partial genome characterization of a herpes-like virus infecting the Japanese oyster, Crassostrea gigas	microscopy showed that a purified virus				Mollusca	Bivalvia	mollusk	disease_outbreak	isolated_and_cultured	pattern	6
10355779	Purification and partial genome characterization of a herpes-like virus infecting the Japanese oyster, Crassostrea gigas	suspension contained capsids and enveloped virus				Mollusca	Bivalvia	mollusk	disease_outbreak	isolated_and_cultured	pattern	6
10355779	Purification and partial genome characterization of a herpes-like virus infecting the Japanese oyster, Crassostrea gigas	partial cloning of the virus				Mollusca	Bivalvia	mollusk	disease_outbreak	isolated_and_cultured	pattern	6
10477065	Flow cytometry and RT-PCR for rotavirus detection in artificially seeded oyster meat.	to study virus				Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10477065	Flow cytometry and RT-PCR for rotavirus detection in artificially seeded oyster meat.	with the same amount of virus				Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10480550	Detection and nucleotide sequence analysis of human caliciviruses (HuCVs) from samples in non-bacterial gastroenteritis 	could be classified as norwalk virus				Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10543775	A method to detect low levels of enteric viruses in contaminated oysters.	detect low levels of enteric virus				Mollusca	Bivalvia	mollusk	confirmed_infection	isolated_and_cultured	pattern	3
10543775	A method to detect low levels of enteric viruses in contaminated oysters.	isolation and identification of pathogenic virus				Mollusca	Bivalvia	mollusk	confirmed_infection	isolated_and_cultured	pattern	3
10543775	A method to detect low levels of enteric viruses in contaminated oysters.	by inefficient methods for recovering virus				Mollusca	Bivalvia	mollusk	confirmed_infection	isolated_and_cultured	pattern	3
10543775	A method to detect low levels of enteric viruses in contaminated oysters.	and low levels of virus				Mollusca	Bivalvia	mollusk	confirmed_infection	isolated_and_cultured	pattern	3
10543775	A method to detect low levels of enteric viruses in contaminated oysters.	for sensitive pcr detection of virus				Mollusca	Bivalvia	mollusk	confirmed_infection	isolated_and_cultured	pattern	3
10543775	A method to detect low levels of enteric viruses in contaminated oysters.	to evaluate the efficacy of virus				Mollusca	Bivalvia	mollusk	confirmed_infection	isolated_and_cultured	pattern	3
10543775	A method to detect low levels of enteric viruses in contaminated oysters.	pcr detection of virus				Mollusca	Bivalvia	mollusk	confirmed_infection	isolated_and_cultured	pattern	3
10543775	A method to detect low levels of enteric viruses in contaminated oysters.	like virus				Mollusca	Bivalvia	mollusk	confirmed_infection	isolated_and_cultured	pattern	3
10618226	"Development of methods to detect ""Norwalk-like viruses"" (NLVs) and hepatitis A virus in delicatessen foods: application "	like virus				Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence	pattern	1
10618226	"Development of methods to detect ""Norwalk-like viruses"" (NLVs) and hepatitis A virus in delicatessen foods: application "	and hepatitis a virus				Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence	pattern	1
10618226	"Development of methods to detect ""Norwalk-like viruses"" (NLVs) and hepatitis A virus in delicatessen foods: application "	the most common causes of virus				Mollusca	Bivalvia	mollusk	confirmed_infection	metagenomic_with_host_evidence	pattern	1
