pmid	title	virus_name	virus_abbr	virus_family	virus_genus	host_phylum	host_class	host_common_name	host_association_method	discovery_context	match_type	host_score
21782018	Marine organisms as a therapeutic source against herpes simplex virus infection.	therapeutic source against herpes simplex virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
21782018	Marine organisms as a therapeutic source against herpes simplex virus infection.	herpes simplex virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
25230484	Host behavior alters spiny lobster-viral disease dynamics: a simulation study.	and panulirus argus virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
25230484	Host behavior alters spiny lobster-viral disease dynamics: a simulation study.	duration in simulations until the virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
29575552	Reef invertebrate viromics: diversity, host specificity and functional capacity.	revealed a high diversity of virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
29575552	Reef invertebrate viromics: diversity, host specificity and functional capacity.	host specificity and function of virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
29575552	Reef invertebrate viromics: diversity, host specificity and functional capacity.	taxonomic and functional profiles of virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
29575552	Reef invertebrate viromics: diversity, host specificity and functional capacity.	show a prevalence of dsdna virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
29575552	Reef invertebrate viromics: diversity, host specificity and functional capacity.	highlight the abundance of ssdna virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
29575552	Reef invertebrate viromics: diversity, host specificity and functional capacity.	these insights into coral reef virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
29575552	Reef invertebrate viromics: diversity, host specificity and functional capacity.	for future research into how virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
31492669	Potential Interactions between Clade SUP05 Sulfur-Oxidizing Bacteria and Phages in Hydrothermal Vent Sponges.	marine virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
31492669	Potential Interactions between Clade SUP05 Sulfur-Oxidizing Bacteria and Phages in Hydrothermal Vent Sponges.	stranded virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
34722282	SNHG8 Promotes the Progression of Epstein-Barr Virus-Associated Gastric Cancer 	barr virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
34917052	Human and Animal RNA Virus Diversity Detected by Metagenomics in Cameroonian Clams.	human and animal rna virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
34917052	Human and Animal RNA Virus Diversity Detected by Metagenomics in Cameroonian Clams.	the diversity of eukaryotic rna virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
34917052	Human and Animal RNA Virus Diversity Detected by Metagenomics in Cameroonian Clams.	from human or potentially zoonotic virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
34917052	Human and Animal RNA Virus Diversity Detected by Metagenomics in Cameroonian Clams.	several mammalian rna virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
34917052	Human and Animal RNA Virus Diversity Detected by Metagenomics in Cameroonian Clams.	and genogroup v hepatitis a virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
34917052	Human and Animal RNA Virus Diversity Detected by Metagenomics in Cameroonian Clams.	a large diversity of rna virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
35063603	A glimpse on metazoan ZNFX1 helicases, ancient players of antiviral innate immunity.	gastropod mollusks infected with dsdna virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
35063603	A glimpse on metazoan ZNFX1 helicases, ancient players of antiviral innate immunity.	nothing similar was found in virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
35893660	A Novel Iridovirus Discovered in Deep-Sea Carnivorous Sponges.	a novel iridovirus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
35893660	A Novel Iridovirus Discovered in Deep-Sea Carnivorous Sponges.	we discovered a novel iridovirus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
35893660	A Novel Iridovirus Discovered in Deep-Sea Carnivorous Sponges.	associated iridovirus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
35893660	A Novel Iridovirus Discovered in Deep-Sea Carnivorous Sponges.	identical to a partially sequenced virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
35893660	A Novel Iridovirus Discovered in Deep-Sea Carnivorous Sponges.	mcp sequencing revealed a divergent virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
36420513	Different expression pattern of thrombospondin gene in the presence and absence of β-glucan fed 	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Porifera	Demospongiae	sponge	disease_outbreak	metagenomic_with_host_evidence	known	3
36420513	Different expression pattern of thrombospondin gene in the presence and absence of β-glucan fed 	challenged with white spot syndrome virus				Porifera	Demospongiae	sponge	disease_outbreak	metagenomic_with_host_evidence	pattern	3
36420513	Different expression pattern of thrombospondin gene in the presence and absence of β-glucan fed 	triggered during immunostimulant administration and virus				Porifera	Demospongiae	sponge	disease_outbreak	metagenomic_with_host_evidence	pattern	3
10494957	Production of influenza virus in serum-free mammalian cell cultures.	production of influenza virus				Porifera	Demospongiae	sponge	confirmed_infection	isolated_and_cultured	pattern	3
10494957	Production of influenza virus in serum-free mammalian cell cultures.	human influenza virus				Porifera	Demospongiae	sponge	confirmed_infection	isolated_and_cultured	pattern	3
10494957	Production of influenza virus in serum-free mammalian cell cultures.	influenza virus				Porifera	Demospongiae	sponge	confirmed_infection	isolated_and_cultured	pattern	3
10494957	Production of influenza virus in serum-free mammalian cell cultures.	both human and equine influenza virus				Porifera	Demospongiae	sponge	confirmed_infection	isolated_and_cultured	pattern	3
10494957	Production of influenza virus in serum-free mammalian cell cultures.	than polyester sponge carriers for virus				Porifera	Demospongiae	sponge	confirmed_infection	isolated_and_cultured	pattern	3
10494957	Production of influenza virus in serum-free mammalian cell cultures.	cells for large scale virus				Porifera	Demospongiae	sponge	confirmed_infection	isolated_and_cultured	pattern	3
10494957	Production of influenza virus in serum-free mammalian cell cultures.	as the production of influenza virus				Porifera	Demospongiae	sponge	confirmed_infection	isolated_and_cultured	pattern	3
10650083	Chemistry of sponges. 19. Novel bioactive metabolites from Hamigera tarangaensis.	vitro virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
10650083	Chemistry of sponges. 19. Novel bioactive metabolites from Hamigera tarangaensis.	both the herpes and polio virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
10699070	Viral vector delivery in solid-state vehicles: gene expression in a murine prostate cancer model.	as a vehicle for recombinant virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10699070	Viral vector delivery in solid-state vehicles: gene expression in a murine prostate cancer model.	to deliver the canarypox virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10699070	Viral vector delivery in solid-state vehicles: gene expression in a murine prostate cancer model.	phase delivery of virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10699070	Viral vector delivery in solid-state vehicles: gene expression in a murine prostate cancer model.	of the three recombinant alvac virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
10853021	Distinct chemotactic and angiogenic activities of peptides derived from Kaposi's sarcoma virus encoded chemokines.	s sarcoma virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
10853021	Distinct chemotactic and angiogenic activities of peptides derived from Kaposi's sarcoma virus encoded chemokines.	associated herpesvirus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
10869210	A new bioactive sesterterpene and antiplasmodial alkaloids from the marine sponge hyrtios cf. erecta.	hepatitis a virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
11078823	Rat sponge implant model: a new system for evaluating angiogenic gene transfer.	days after initial virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
11119105	Biomarker distribution after injection into the canine prostate: implications for gene therapy.	the distribution of canarypox virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
11119105	Biomarker distribution after injection into the canine prostate: implications for gene therapy.	of the same number of virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
11268286	Cochlear gene delivery through an intact round window membrane in mouse.	associated virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
11395764	Self-assembly of regular hollow icosahedra in salt-free catanionic solutions.	those observed for proteins of virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
11395764	Self-assembly of regular hollow icosahedra in salt-free catanionic solutions.	known icosahedral protein assembly or virus				Porifera	Demospongiae	sponge	co_occurrence_metagenomic	metagenomic_environmental	pattern	3
11481526	Pagetoid dyskeratosis of the lips.	and human papilloma virus				Porifera	Demospongiae	sponge	pathology_observation	metagenomic_with_host_evidence	pattern	3
11718949	Towards synthetic viruses.	towards synthetic virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
11718949	Towards synthetic viruses.	that mimic key properties of virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
11718949	Towards synthetic viruses.	directly copied from bacteria and virus				Porifera	Demospongiae	sponge	confirmed_infection	metagenomic_with_host_evidence	pattern	3
