pmid	title	virus_name	virus_abbr	virus_family	virus_genus	host_phylum	host_class	host_common_name	host_association_method	discovery_context
10627152	Characterization and PCR detection of hepatopancreatic parvovirus (HPV) from Penaeus monodon in Thailand.	hepatopancreatic parvovirus	HPV	Parvoviridae	Decapodpenstyldensovirus	Arthropoda	Malacostraca	crustacean	confirmed_infection	isolated_and_cultured
10627672	Establishment of cell culture systems from penaeid shrimp and their susceptibility to white spot disease and yellow head	yellow head virus	YHV	Roniviridae	Okavirus	Arthropoda	Malacostraca	crustacean	confirmed_infection	isolated_and_cultured
10752552	Protein analysis of geographic isolates of shrimp white spot syndrome virus.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured
10768285	A non-destructive method based on the polymerase chain reaction for detection of hepatopancreatic parvovirus (HPV) of pe	infectious hypodermal and hematopoietic necrosis virus	IHHNV	Parvoviridae	Penstyldensovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured
10768285	A non-destructive method based on the polymerase chain reaction for detection of hepatopancreatic parvovirus (HPV) of pe	hepatopancreatic parvovirus	HPV	Parvoviridae	Decapodpenstyldensovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured
10782342	Diagnosis of Penaeus monodon-type baculovirus by PCR and by ELISA of occlusion bodies.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured
10782350	Natural and experimental infection of white spot syndrome virus (WSSV) in benthic larvae of mud crab Scylla serrata.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence
10907134	A new bacterial white spot syndrome (BWSS) in cultured tiger shrimp Penaeus monodon and its comparison with white spot s	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
10986642	Development of a monoclonal antibody specific to yellow head virus (YHV) from Penaeus monodon.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
10986642	Development of a monoclonal antibody specific to yellow head virus (YHV) from Penaeus monodon.	yellow head virus	YHV	Roniviridae	Okavirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
10986648	White spot syndrome virus (WSSV) in cultured Penaeus monodon in the Philippines.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
11023247	Quasi-immune response of Penaeus japonicus to penaeid rod-shaped DNA virus (PRDV).	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
11023248	Periodic occurrence of epithelial viral necrosis outbreaks in Penaeus vannamei in Ecuador.	taura syndrome virus	TSV	Dicistroviridae	Aparavirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
11206732	Identification of genomic variations among geographic isolates of white spot syndrome virus using restriction analysis a	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured
11257192	Evidence for interspecies transmission of oyster herpesvirus in marine bivalves.	ostreid herpesvirus	OsHV	Malacoherpesviridae	Ostreavirus	Mollusca	Bivalvia	mollusk	disease_outbreak	metagenomic_with_host_evidence
11324757	Identification and phylogeny of a protein kinase gene of white spot syndrome virus.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
