pmid	year	title	journal	doi	host_phylum	host_class
10069957	1999	Heterologous sequences greatly affect foreign gene expression in tobacco mosaic virus-based vectors.	Virology	10.1006/viro.1998.9579	Cnidaria	Scyphozoa
10361722	1999	Generation of a new protein purification matrix by loading ceramic hydroxyapatite with metal ions--demonstration with poly-histidine tagged green fluorescent protein.	Journal of biotechnology	10.1016/s0168-1656(99)00038-3	Cnidaria	Scyphozoa
10398563	1999	Construction of a recombinant herpesvirus expressing the jellyfish green fluorescent protein.	Luminescence : the journal of biological and chemical luminescence	10.1002/(SICI)1522-7243(199903/04)14:2<69::AID-BIO509>3.0.CO;2-B	Cnidaria	Scyphozoa
10482615	1999	Analysis of receptor usage by ecotropic murine retroviruses, using green fluorescent protein-tagged cationic amino acid transporters.	Journal of virology	10.1128/JVI.73.10.8623-8629.1999	Cnidaria	Scyphozoa
10662612	2000	Engineering cowpea mosaic virus RNA-2 into a vector to express heterologous proteins in plants.	Virology	10.1006/viro.1999.0126	Cnidaria	Scyphozoa
10675399	2000	Tagging potato leafroll virus with the jellyfish green fluorescent protein gene.	The Journal of general virology	10.1099/0022-1317-81-3-617	Cnidaria	Scyphozoa
10707357	2000	Effects of green fluorescent protein or beta-glucuronidase tagging on the accumulation and pathogenicity of a resistance-breaking Lettuce mosaic virus isolate in susceptible and resistant lettuce cultivars.	Molecular plant-microbe interactions : MPMI	10.1094/MPMI.2000.13.3.316	Cnidaria	Scyphozoa
10708450	2000	Degradation of tobacco mosaic virus movement protein by the 26S proteasome.	Journal of virology	10.1128/jvi.74.7.3330-3337.2000	Cnidaria	Scyphozoa
10720198	2000	Green fluorescent protein gene insertion of Sendai Virus infection in nude mice: possibility as an infection tracer.	The Journal of veterinary medical science	10.1292/jvms.62.223	Cnidaria	Scyphozoa
10749213	2000	An RNA-directed nuclease mediates post-transcriptional gene silencing in Drosophila cells.	Nature	10.1038/35005107	Cnidaria	Hydrozoa
10766354	2000	Construction and function of a recombinant adenovirus encoding a human aquaporin 1-green fluorescent protein fusion product.	Cancer gene therapy	10.1038/sj.cgt.7700146	Cnidaria	Scyphozoa
10855030	2000	Optimization of non-viral gene transfer to human primary retinal pigment epithelial cells.	Current eye research		Cnidaria	Scyphozoa
11160732	2001	Use of helper-free replication-defective simian immunodeficiency virus-based vectors to study macrophage and T tropism: evidence for distinct levels of restriction in primary macrophages and a T-cell line.	Journal of virology	10.1128/JVI.75.5.2288-2300.2001	Cnidaria	Scyphozoa
11162842	2001	Protection of rabbits against rabbit hemorrhagic disease virus by immunization with the VP60 protein expressed in plants with a potyvirus-based vector.	Virology	10.1006/viro.2000.0762	Cnidaria	Scyphozoa
