Roniviridae: 42 RDRP sequences, 2 species
Partitiviridae: 34 RDRP sequences, 3 species
Yueviridae: 33 RDRP sequences, 2 species
Nodaviridae: 31 RDRP sequences, 3 species
Virgaviridae: 26 RDRP sequences, 1 species
Qinviridae: 24 RDRP sequences, 2 species
Dicistroviridae: 21 RDRP sequences, 3 species
Chuviridae: 19 RDRP sequences, 5 species
Artiviridae: 13 RDRP sequences, 1 species
Tombusviridae: 10 RDRP sequences, 2 species
Marnaviridae: 10 RDRP sequences, 2 species
Flaviviridae: 10 RDRP sequences, 1 species
Orthototiviridae: 6 RDRP sequences, 2 species
Narnaviridae: 6 RDRP sequences, 3 species
Cruliviridae: 5 RDRP sequences, 3 species
Rhabdoviridae: 4 RDRP sequences, 1 species
Nyamiviridae: 4 RDRP sequences, 2 species
Phenuiviridae: 2 RDRP sequences, 1 species
Natareviridae: 2 RDRP sequences, 1 species
Betaflexiviridae: 2 RDRP sequences, 1 species
Tymoviridae: 1 RDRP sequences, 1 species
Phasmaviridae: 1 RDRP sequences, 1 species
