ncbi_uid,accession,organism,title,length,pmid
408775982,JX453331.1,abalone herpesvirus,"Abalone herpesvirus isolate Victoria, complete sequence",211518,
2805790248,PP999773.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate AK21, complete genome",203109,
2805790129,PP999772.1,Ostreid herpesvirus 1,"Ostreid herpesvirus 1 isolate AK19, complete genome",199773,
2751649433,PA834698.1,Ostreid herpesvirus 1,WO 2024038497-A/35: Novel promoter,151,
2751649432,PA834697.1,Ostreid herpesvirus 1,WO 2024038497-A/34: Novel promoter,233,
2751649431,PA834696.1,Ostreid herpesvirus 1,WO 2024038497-A/33: Novel promoter,587,
2751649430,PA834695.1,Ostreid herpesvirus 1,WO 2024038497-A/32: Novel promoter,902,
2751649401,PA834666.1,Chlamys acute necrobiotic virus,WO 2024038497-A/3: Novel promoter,1070,
2751649400,PA834665.1,Ostreid herpesvirus 1,WO 2024038497-A/2: Novel promoter,1069,
2751649399,PA834664.1,Ostreid herpesvirus 1,WO 2024038497-A/1: Novel promoter,1069,
2556867330,BK063098.1,Malaco herpesvirus 1,TPA_asm: Malaco herpesvirus 1 isolate MalacoHV1/China/2018 genomic sequence,3406,
2556867320,BK063097.1,Malaco herpesvirus 1,TPA_asm: Malaco herpesvirus 1 isolate MalacoHV1/China/2018 genomic sequence,9476,
2556867313,BK063096.1,Malaco herpesvirus 1,TPA_asm: Malaco herpesvirus 1 isolate MalacoHV1/China/2018 genomic sequence,10649,
2556867299,BK063095.1,Malaco herpesvirus 1,TPA_asm: Malaco herpesvirus 1 isolate MalacoHV1/China/2018 genomic sequence,15165,
2556867280,BK063094.1,Malaco herpesvirus 1,TPA_asm: Malaco herpesvirus 1 isolate MalacoHV1/China/2018 genomic sequence,19973,
2556867256,BK063093.1,Malaco herpesvirus 1,TPA_asm: Malaco herpesvirus 1 isolate MalacoHV1/China/2018 genomic sequence,27848,
2556867225,BK063092.1,Malaco herpesvirus 1,TPA_asm: Malaco herpesvirus 1 isolate MalacoHV1/China/2018 genomic sequence,42480,
2556867192,BK063091.1,Malaco herpesvirus 1,TPA_asm: Malaco herpesvirus 1 isolate MalacoHV1/China/2018 genomic sequence,45353,
2556867189,BK063090.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,5180,
2556867183,BK063089.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,5198,
2556867179,BK063088.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,3604,
2556867175,BK063087.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,9722,
2556867169,BK063086.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,10391,
2556867167,BK063085.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,3424,
2556867164,BK063084.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,4006,
2556867162,BK063083.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,3783,
2556867157,BK063082.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,3603,
2556867155,BK063081.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,2614,
2556867148,BK063080.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,10001,
2556867142,BK063079.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,6408,
2556867140,BK063078.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,3355,
2556867136,BK063077.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,3085,
2556867134,BK063076.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,3341,
2556867125,BK063075.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,6333,
2556867122,BK063074.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,4591,
2556867118,BK063073.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,5747,
2556867116,BK063072.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,2734,
2556867112,BK063071.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,4327,
2556867107,BK063070.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,4274,
2556867102,BK063069.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,4446,
2556867100,BK063068.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,2657,
2556867097,BK063067.1,Malaco herpesvirus 4,TPA_asm: Malaco herpesvirus 4 isolate MalacoHV4/Med/2018 155 genomic sequence,3064,
